Line_Item_ID,Date,Credit_Card_Number,Quantity,Menu_Item
1,1/1/17,7.43793E+15,1,spicy miso ramen
2,1/1/17,7.43793E+15,1,spicy miso ramen
3,1/1/17,8.42192E+15,3,tori paitan ramen
4,1/1/17,8.42192E+15,3,tori paitan ramen
5,1/1/17,4.78731E+15,1,truffle butter ramen
6,1/1/17,4.78731E+15,1,truffle butter ramen
7,1/1/17,8.25282E+15,1,tonkotsu ramen
8,1/1/17,8.25282E+15,1,tonkotsu ramen
9,1/1/17,3.11903E+15,1,vegetarian spicy miso
10,1/1/17,3.11903E+15,1,vegetarian spicy miso
11,1/1/17,5.18562E+15,1,shio ramen
12,1/1/17,5.18562E+15,1,shio ramen
13,1/1/17,1.62577E+15,1,tori paitan ramen
14,1/1/17,1.62577E+15,1,tori paitan ramen
15,1/1/17,5.05248E+14,1,vegetarian spicy miso
16,1/1/17,5.05248E+14,1,vegetarian spicy miso
17,1/1/17,5.01086E+15,1,spicy miso ramen
18,1/1/17,5.01086E+15,1,spicy miso ramen
19,1/1/17,1.79274E+15,2,truffle butter ramen
20,1/1/17,1.79274E+15,2,truffle butter ramen
21,1/1/17,7.6156E+14,2,tonkotsu ramen
22,1/1/17,7.6156E+14,2,tonkotsu ramen
23,1/1/17,9.0199E+15,1,truffle butter ramen
24,1/1/17,9.0199E+15,1,truffle butter ramen
25,1/1/17,8.39095E+15,2,tori paitan ramen
26,1/1/17,8.39095E+15,2,tori paitan ramen
27,1/1/17,8.41328E+15,1,spicy miso ramen
28,1/1/17,8.41328E+15,1,spicy miso ramen
29,1/1/17,9.29773E+15,1,vegetarian spicy miso
30,1/1/17,9.29773E+15,1,vegetarian spicy miso
31,1/1/17,4.84226E+15,1,vegetarian spicy miso
32,1/1/17,4.84226E+15,1,vegetarian spicy miso
33,1/1/17,6.23352E+15,4,tonkotsu ramen
34,1/1/17,6.23352E+15,4,tonkotsu ramen
35,1/1/17,2.64121E+15,4,miso crab ramen
36,1/1/17,2.64121E+15,4,miso crab ramen
37,1/1/17,9.49963E+15,1,miso crab ramen
38,1/1/17,9.49963E+15,1,miso crab ramen
39,1/1/17,5.56735E+15,1,nagomi shoyu
40,1/1/17,5.56735E+15,1,nagomi shoyu
41,1/1/17,2.21048E+15,1,truffle butter ramen
42,1/1/17,2.21048E+15,1,truffle butter ramen
43,1/1/17,6.12981E+15,1,tori paitan ramen
44,1/1/17,6.12981E+15,1,tori paitan ramen
45,1/1/17,4.56755E+15,1,truffle butter ramen
46,1/1/17,4.56755E+15,1,truffle butter ramen
47,1/1/17,8.66698E+15,1,vegetarian spicy miso
48,1/1/17,8.66698E+15,1,vegetarian spicy miso
49,1/1/17,9.44716E+15,1,soft-shell miso crab ramen
